Sigla,Nome,Ano/Semestre,AU,TR,AU+TR,EXT,FREQ,NOTA,student_id
SCC0221,Introdução à Ciência de Computação I,2020/1,4,1,5,0,100.0,10.0,2
SCC0222,Laboratório de Introdução à Ciência de Computação I,2020/1,2,2,4,0,100.0,9.9,2
SMA0300,Geometria Analítica,2020/1,4,0,4,0,100.0,6.8,2
SMA0353,Cálculo I,2020/1,4,0,4,0,100.0,7.8,2
SSC0104,Evolução Histórica da Computação e Aplicações,2020/1,2,0,2,0,100.0,10.0,2
SSC0109,Prática em Lógica Digital,2020/1,2,1,3,0,100.0,10.0,2
SSC0117,Introdução à Lógica Digital,2020/1,2,1,3,0,100.0,9.0,2
SSC0180,Eletrônica para Computação,2020/1,2,2,4,0,100.0,10.0,2
SCC0201,Introdução à Ciência de Computação II,2020/2,4,2,6,0,100.0,8.5,2
SCC0202,Algoritmos e Estruturas de Dados I,2020/2,4,2,6,0,100.0,8.5,2
SMA0180,Matemática Discreta I,2020/2,4,0,4,0,80.0,6.0,2
SMA0354,Cálculo II,2020/2,4,0,4,0,100.0,5.1,2
SSC0108,Prática em Sistemas Digitais,2020/2,2,1,3,0,100.0,10.0,2
SSC0118,Sistemas Digitais,2020/2,2,1,3,0,100.0,9.5,2
SCC0215,Organização de Arquivos,2021/1,3,2,5,0,100.0,8.0,2
SCC0216,Modelagem Computacional em Grafos,2021/1,2,1,3,0,70.0,10.0,2
SMA0355,Cálculo III,2021/1,4,0,4,0,100.0,4.5,2
SSC0103,Programação Orientada a Objetos,2021/1,4,2,6,0,93.0,8.4,2
SSC0119,Prática em Organização de Computadores,2021/1,2,1,3,0,77.0,10.0,2
SSC0902,Organização e Arquitetura de Computadores,2021/1,4,1,5,0,100.0,9.0,2
SCC0218,Algoritmos Avançados e Aplicações,2021/2,2,2,4,0,100.0,6.9,2
SME0123,Estatística,2021/2,4,0,4,0,80.0,8.5,2
SSC0124,Análise e Projeto Orientados a Objetos,2021/2,2,1,3,0,93.0,9.5,2
SSC0140,Sistemas Operacionais I,2021/2,4,2,6,0,100.0,7.3,2
SCC0219,Introdução ao Desenvolvimento Web,2022/1,4,1,5,0,77.0,7.4,2
SCC0240,Bases de Dados,2022/1,4,2,6,0,93.0,3.4,2
SME0121,Processos Estocásticos,2022/1,4,0,4,0,100.0,7.3,2
SSC0130,Engenharia de Software,2022/1,4,1,5,0,100.0,7.9,2
SSC0142,Redes de Computadores,2022/1,4,2,6,0,100.0,8.6,2
SCC0205,Teoria da Computação e Linguagens Formais,2022/2,4,2,6,0,83.0,8.0,2
SCC0207,Computadores e Sociedade I,2022/2,2,0,2,0,80.0,9.4,2
SCC0227,Seminários em Computação I,2022/2,1,0,1,0,100.0,8.0,2
SMA0355,Cálculo III,2022/2,4,0,4,0,78.0,3.3,2
SME0142,Álgebra Linear e Aplicações,2022/2,4,1,5,0,83.0,4.4,2
SSC0903,Computação de Alto Desempenho,2022/2,4,1,5,0,90.0,8.7,2
SCC0210,Laboratório de Algoritmos Avançados I,2023/1,3,2,5,0,100.0,3.6,2
SCC0217,Linguagens de Programação e Compiladores,2023/1,4,2,6,0,93.0,8.2,2
